Pb size with 16 threads;Serial;Parallel;ParallelModif
10;0.19;0.68;0.75
12;1.16;1.48;1.26
14;4.68;3.57;3.76
16;19.11;13.39;14.08
18;89.92;57.58;59.63
20;393.66;235.01;227.01
