Pb size with 8 threads;Serial;Parallel;ParallelModif
10;0.20;0.60;0.53
12;0.92;0.94;0.81
14;4.27;3.61;3.31
16;19.22;13.33;13.49
18;86.18;55.42;53.23
20;391.72;222.11;214.94
